M,a,N,RSI_days,rsi_lower,rsi_upper,stop_loss_rate,Sample1_StrategyReturn,Sample2_StrategyReturn,Sample3_StrategyReturn,Sample1_BnHReturn,Sample2_BnHReturn,Sample3_BnHReturn,Sample1_RelativeReturn,Sample2_RelativeReturn,Sample3_RelativeReturn
10.0,1.2,3.0,10.0,15.0,75.0,0.15,7502.0,2491.0,10102.0,3236.0,614.4700000000003,4075.49,4266.0,1876.5299999999997,6026.51
10.0,1.2,3.0,10.0,15.0,75.0,0.2,7502.0,3537.0,10102.0,3236.0,614.4700000000003,4075.49,4266.0,2922.5299999999997,6026.51
10.0,1.2,3.0,10.0,15.0,75.0,0.25,7502.0,4059.0,10102.0,3236.0,614.4700000000003,4075.49,4266.0,3444.5299999999997,6026.51
10.0,1.2,4.0,10.0,15.0,75.0,0.25,7502.0,4059.0,10102.0,3236.0,614.4700000000003,4075.49,4266.0,3444.5299999999997,6026.51
10.0,1.2,4.0,10.0,15.0,75.0,0.2,7502.0,3537.0,10102.0,3236.0,614.4700000000003,4075.49,4266.0,2922.5299999999997,6026.51
10.0,1.2,4.0,10.0,15.0,75.0,0.15,7502.0,2491.0,10102.0,3236.0,614.4700000000003,4075.49,4266.0,1876.5299999999997,6026.51
10.0,1.2,4.0,10.0,15.0,80.0,0.15,7430.0,5004.0,10151.0,3236.0,614.4700000000003,4075.49,4194.0,4389.53,6075.51
10.0,1.2,4.0,10.0,15.0,80.0,0.2,7430.0,6326.0,10151.0,3236.0,614.4700000000003,4075.49,4194.0,5711.53,6075.51
10.0,1.2,4.0,10.0,15.0,80.0,0.25,7430.0,6326.0,10151.0,3236.0,614.4700000000003,4075.49,4194.0,5711.53,6075.51
10.0,1.2,5.0,10.0,15.0,80.0,0.15,7430.0,5004.0,10151.0,3236.0,614.4700000000003,4075.49,4194.0,4389.53,6075.51
10.0,1.2,5.0,10.0,15.0,80.0,0.2,7430.0,6326.0,10151.0,3236.0,614.4700000000003,4075.49,4194.0,5711.53,6075.51
10.0,1.2,5.0,10.0,15.0,80.0,0.25,7430.0,6326.0,10151.0,3236.0,614.4700000000003,4075.49,4194.0,5711.53,6075.51
105.0,1.05,10.0,105.0,40.0,60.0,0.25,5658.0,4046.0,6780.0,3236.0,614.4700000000003,4075.49,2422.0,3431.5299999999997,2704.51
105.0,1.05,10.0,105.0,40.0,60.0,0.15,5658.0,4355.0,6799.0,3236.0,614.4700000000003,4075.49,2422.0,3740.5299999999997,2723.51
105.0,1.05,5.0,105.0,45.0,60.0,0.25,5658.0,2756.0,6942.0,3236.0,614.4700000000003,4075.49,2422.0,2141.5299999999997,2866.51
105.0,1.05,7.0,105.0,40.0,60.0,0.25,5658.0,4046.0,6780.0,3236.0,614.4700000000003,4075.49,2422.0,3431.5299999999997,2704.51
105.0,1.05,7.0,105.0,40.0,60.0,0.15,5658.0,4355.0,6799.0,3236.0,614.4700000000003,4075.49,2422.0,3740.5299999999997,2723.51
105.0,1.05,9.0,105.0,40.0,60.0,0.25,5658.0,4046.0,6780.0,3236.0,614.4700000000003,4075.49,2422.0,3431.5299999999997,2704.51
105.0,1.05,9.0,105.0,40.0,60.0,0.15,5658.0,4355.0,6799.0,3236.0,614.4700000000003,4075.49,2422.0,3740.5299999999997,2723.51
105.0,1.05,5.0,105.0,40.0,60.0,0.25,5658.0,4046.0,6780.0,3236.0,614.4700000000003,4075.49,2422.0,3431.5299999999997,2704.51
105.0,1.05,3.0,105.0,45.0,60.0,0.25,5658.0,6281.0,6942.0,3236.0,614.4700000000003,4075.49,2422.0,5666.53,2866.51
105.0,1.05,5.0,105.0,45.0,60.0,0.15,5658.0,3065.0,6776.0,3236.0,614.4700000000003,4075.49,2422.0,2450.5299999999997,2700.51
